text,true_labels,predicted_labels,false_positives,false_negatives,stress_prob,schlaf_prob,bewegung_prob,ernaehrung_prob
Ich schlafe aktuell schlecht und esse im Moment ziemlich chaotisch.,"schlaf, ernaehrung","schlaf, bewegung, ernaehrung",bewegung,,0.45721641182899475,0.5381189584732056,0.5430895090103149,0.8903844952583313
"Es ist gerade alles zu viel, ich bin träge und Mahlzeiten fallen aus.","stress, bewegung, ernaehrung","stress, schlaf, bewegung, ernaehrung",schlaf,,0.6724157929420471,0.5577127933502197,0.5376666188240051,0.9210383296012878
Ich habe meine Bewegung vernachlässigt und meine Ernährung gleich mit.,"bewegung, ernaehrung",ernaehrung,,bewegung,0.4521748125553131,0.2879001200199127,0.4902202785015106,0.8883023858070374
"Die Nächte sind schlecht, der Alltag hektisch und mein Essen total durcheinander.","stress, schlaf, ernaehrung","stress, schlaf, bewegung, ernaehrung",bewegung,,0.7426607012748718,0.7584187984466553,0.5244444608688354,0.8643954992294312
"Ich habe schlecht geschlafen, mich kaum bewegt und wieder nur Fast Food gegessen.","schlaf, bewegung, ernaehrung","stress, schlaf, bewegung, ernaehrung",stress,,0.5699436664581299,0.7583467960357666,0.6424344182014465,0.8979671597480774
Sport fällt aus und mein Essrhythmus ist ebenfalls schlecht.,"bewegung, ernaehrung","stress, schlaf, bewegung, ernaehrung","stress, schlaf",,0.5548582077026367,0.5196512937545776,0.569354236125946,0.8246476054191589
"Ich bin nachts oft wach, tagsüber angespannt und esse meist nur Snacks.","stress, schlaf, ernaehrung","stress, schlaf, bewegung, ernaehrung",bewegung,,0.7072846293449402,0.7115313410758972,0.6520688533782959,0.9160794019699097
Ich bin gestresst und war heute fast gar nicht draußen.,"stress, bewegung","schlaf, bewegung",schlaf,stress,0.47455063462257385,0.6120679974555969,0.6560568809509277,0.18203090131282806
Ich sitze in letzter Zeit nur noch rum.,bewegung,,,bewegung,0.3432127833366394,0.27420175075531006,0.47759824991226196,0.11923340708017349
Ich komme weder nachts noch tagsüber richtig zur Ruhe.,"stress, schlaf",schlaf,,stress,0.3235150873661041,0.6928534507751465,0.4708764851093292,0.11664673686027527
Ich wache oft gerädert auf und esse dann den ganzen Tag durcheinander.,"schlaf, ernaehrung","stress, bewegung, ernaehrung","stress, bewegung",schlaf,0.5057888031005859,0.4618692100048065,0.5002893805503845,0.9348762631416321
Ich habe aktuell Schlafprobleme und deutlich zu viel Stress.,"stress, schlaf","stress, schlaf, bewegung",bewegung,,0.5785601735115051,0.7601033449172974,0.6404056549072266,0.15794365108013153
Ich bin seit Tagen müde und esse gleichzeitig viel zu unregelmäßig.,"schlaf, ernaehrung",ernaehrung,,schlaf,0.4351886808872223,0.4192163050174713,0.49201110005378723,0.934287428855896
"Mein Schlaf leidet, mein Körper ist inaktiv und mein Essen nicht besonders gut.","schlaf, bewegung, ernaehrung","stress, schlaf, bewegung, ernaehrung",stress,,0.7539735436439514,0.809928834438324,0.6115017533302307,0.8725728392601013
Ich war die letzten Tage sehr inaktiv.,bewegung,,,bewegung,0.30216363072395325,0.41590407490730286,0.42184343934059143,0.08822080492973328
